	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	vogdb_description	vogdb_categories	heme_regulatory_motif_count
PKUV01_ENA|PKUV01000001|PKUV01000001.1_13	PKUV01	ENA|PKUV01000001|PKUV01000001.1	13	9629	9889	-1	C	K05524	aba:Acid345_2799  4Fe-4S ferredoxin, iron-sulfur binding; K05524 ferredoxin	False	0.86	156.0	9.198e-43								4Fe-4S dicluster domain [PF12838.7]; 4Fe-4S dicluster domain [PF13187.6]; 4Fe-4S dicluster domain [PF13237.6]; 4Fe-4S dicluster domain [PF14697.6]; 4Fe-4S dicluster domain [PF13247.6]; 4Fe-4S binding domain [PF00037.27]; 4Fe-4S double cluster binding domain [PF13484.6]; 4Fe-4S binding domain [PF12837.7]				0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_14	PKUV01	ENA|PKUV01000001|PKUV01000001.1	14	9948	10253	-1	E																		0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_15	PKUV01	ENA|PKUV01000001|PKUV01000001.1	15	10550	11002	-1	C		mxa:MXAN_5221  hypothetical protein	False	0.5720000000000001	118.0	1.832e-28												0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_16	PKUV01	ENA|PKUV01000001|PKUV01000001.1	16	11196	11492	-1	C		mta:Moth_2019  cupin region	False	0.675	132.0	3.972e-34												0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_17	PKUV01	ENA|PKUV01000001|PKUV01000001.1	17	11590	13140	-1	C		mox:DAMO_0162  membrane protein	False	0.217	130.0	1.587e-28								NnrS protein [PF05940.12]				0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_18	PKUV01	ENA|PKUV01000001|PKUV01000001.1	18	13291	15168	-1	C		hdt:HYPDE_25578  nitrite reductase, copper-containing protein	False	0.607	369.0	3.7499999999999984e-107								Copper binding proteins, plastocyanin/azurin family [PF00127.20]; Multicopper oxidase [PF07732.15]; Cupredoxin-like domain [PF13473.6]; Multicopper oxidase [PF07731.14]				0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_19	PKUV01	ENA|PKUV01000001|PKUV01000001.1	19	15344	15997	1	C		nde:NIDE3836  putative sensory transcriptional regulator, LuxR family	False	0.354	130.0	1.9269999999999998e-31								Bacterial regulatory proteins, luxR family [PF00196.19]; PAS fold [PF00989.25]; PAS fold [PF08448.10]; PAS domain [PF13426.7]				0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_20	PKUV01	ENA|PKUV01000001|PKUV01000001.1	20	16144	16449	1	E																		0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_21	PKUV01	ENA|PKUV01000001|PKUV01000001.1	21	17504	19990	-1	A	K08884	ctm:Cabther_A0616  serine/threonine protein kinase; K08884 serine/threonine protein kinase, bacterial [EC:2.7.11.1]	True	0.333	437.0	1.2379999999999993e-127								Protein kinase domain [PF00069.25]; Protein tyrosine kinase [PF07714.17]; Tetratricopeptide repeat [PF13429.6]; Kinase-like [PF14531.6]; Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.7]; Lipopolysaccharide kinase (Kdo/WaaP) family [PF06293.14]; Tetratricopeptide repeat [PF14559.6]; Lipopolysaccharide core biosynthesis protein (WaaY) [PF06176.11]; Fungal protein kinase [PF17667.1]				0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_22	PKUV01	ENA|PKUV01000001|PKUV01000001.1	22	20486	23170	1	A		aba:Acid345_0263  serine/threonine protein kinase	True	0.635	1114.0	0.0	MER0174835	S09X	MER0174835 - family S9 non-peptidase homologues (Acidobacterium capsulatum) [S09.UNW]#S09X#{peptidase unit: 302-491}~source ACO33706~	False	0.27	68.0	4.588000000000001e-10	Protein kinase domain [PF00069.25]; Protein tyrosine kinase [PF07714.17]; Lipopolysaccharide kinase (Kdo/WaaP) family [PF06293.14]; Fungal protein kinase [PF17667.1]; Lipopolysaccharide core biosynthesis protein (WaaY) [PF06176.11]; RIO1 family [PF01163.22]; Kinase-like [PF14531.6]		sp|Q5UNT1|YL673_MIMIV Putative serine/threonine-protein kinase L673; Xh	Xh	0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_23	PKUV01	ENA|PKUV01000001|PKUV01000001.1	23	23439	24809	1	C		aba:Acid345_4118  serine/threonine protein kinase	False	0.5539999999999999	479.0	1.453999999999999e-147								Protein kinase domain [PF00069.25]; Protein tyrosine kinase [PF07714.17]; Lipopolysaccharide kinase (Kdo/WaaP) family [PF06293.14]; Kinase-like [PF14531.6]; Fungal protein kinase [PF17667.1]; Lipopolysaccharide core biosynthesis protein (WaaY) [PF06176.11]; RIO1 family [PF01163.22]		sp|Q5UQC1|YL232_MIMIV Putative serine/threonine-protein kinase L232; Xh	Xh	0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_1	PKUV01	ENA|PKUV01000002|PKUV01000002.1	1	2	883	-1	A	K04077	aba:Acid345_1097  groEL; chaperonin GroEL; K04077 chaperonin GroEL	True	0.812	492.0	1.9669999999999996e-155								TCP-1/cpn60 chaperonin family [PF00118.24]		sp|A0M7D9|CH60_GRAFK 60 kDa chaperonin; Xh	Xh	0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_2	PKUV01	ENA|PKUV01000002|PKUV01000002.1	2	1005	1334	-1	C	K04078	aca:ACP_0720  groES; chaperonin, 10 kDa; K04078 chaperonin GroES	False	0.8109999999999999	162.0	1.2899999999999996e-44								Chaperonin 10 Kd subunit [PF00166.21]		sp|Q3YUJ8|CH10_SHISS 10 kDa chaperonin; Xu	Xu	0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_3	PKUV01	ENA|PKUV01000002|PKUV01000002.1	3	2064	6686	1	A		pse:NH8B_2316  DNA helicase	True	0.485	1340.0	0.0								REase_MTES_1575 [PF18741.1]; AAA domain [PF13087.6]; AAA domain [PF13086.6]; AAA domain [PF13604.6]; AAA domain [PF13245.6]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_4	PKUV01	ENA|PKUV01000002|PKUV01000002.1	4	7596	8309	1	C		aba:Acid345_3455  Crp/FNR family transcriptional regulator	False	0.622	286.0	7.671999999999995e-85								Crp-like helix-turn-helix domain [PF13545.6]				1
PKUV01_ENA|PKUV01000002|PKUV01000002.1_5	PKUV01	ENA|PKUV01000002|PKUV01000002.1	5	8580	11213	1	A		aba:Acid345_4392  serine/threonine protein kinase	True	0.41	627.0	1.2119999999999991e-191								Protein kinase domain [PF00069.25]; Protein tyrosine kinase [PF07714.17]; Kinase-like [PF14531.6]; Lipopolysaccharide kinase (Kdo/WaaP) family [PF06293.14]; Fungal protein kinase [PF17667.1]		sp|Q5UNT1|YL673_MIMIV Putative serine/threonine-protein kinase L673; Xh	Xh	0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_6	PKUV01	ENA|PKUV01000002|PKUV01000002.1	6	11447	12232	1	C		sus:Acid_4212  hypothetical protein	False	0.31	95.0	6.6569999999999995e-19												0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_7	PKUV01	ENA|PKUV01000002|PKUV01000002.1	7	12530	12694	-1	E																		0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_8	PKUV01	ENA|PKUV01000002|PKUV01000002.1	8	12681	14069	-1	C		sus:Acid_6029  PEGA domain-containing protein	False	0.321	79.0	1.483e-12												0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_9	PKUV01	ENA|PKUV01000002|PKUV01000002.1	9	14141	14362	1	E																		0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_10	PKUV01	ENA|PKUV01000002|PKUV01000002.1	10	14435	15070	1	C		acm:AciX9_3595  alkyl hydroperoxide reductase/thiol specific antioxidant/Mal allergen	False	0.54	192.0	8.563e-53								Redoxin [PF08534.10]; AhpC/TSA family [PF00578.21]; Thioredoxin-like [PF13905.6]; SCO1/SenC [PF02630.14]; Thioredoxin [PF00085.20]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_11	PKUV01	ENA|PKUV01000002|PKUV01000002.1	11	15215	15853	-1	E																		0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_12	PKUV01	ENA|PKUV01000002|PKUV01000002.1	12	15933	16127	1	E																		0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_13	PKUV01	ENA|PKUV01000002|PKUV01000002.1	13	16179	16907	-1	C		nha:Nham_2535  cyclic nucleotide-binding domain-containing protein	False	0.6509999999999999	272.0	4.243e-80								Cyclic nucleotide-binding domain [PF00027.29]; Crp-like helix-turn-helix domain [PF13545.6]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_14	PKUV01	ENA|PKUV01000002|PKUV01000002.1	14	17301	17747	1	C		aba:Acid345_1103  hypothetical protein	False	0.5529999999999999	136.0	1.598e-34								Carboxypeptidase regulatory-like domain [PF13620.6]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_15	PKUV01	ENA|PKUV01000002|PKUV01000002.1	15	17830	18261	1	C		aba:Acid345_1103  hypothetical protein	False	0.519	121.0	2.0679999999999998e-29								Carboxypeptidase regulatory-like domain [PF13620.6]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_16	PKUV01	ENA|PKUV01000002|PKUV01000002.1	16	18344	18706	1	C		aba:Acid345_4777  anti-sigma-factor antagonist	False	0.45	82.0	1.552e-16								STAS domain [PF01740.21]; STAS domain [PF13466.6]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_17	PKUV01	ENA|PKUV01000002|PKUV01000002.1	17	18855	20615	1	A	K06147	sus:Acid_4432  ABC transporter-like protein; K06147 ATP-binding cassette, subfamily B, bacterial	True	0.732	854.0	4.504999999999994e-275								ABC transporter [PF00005.27]; ABC transporter transmembrane region [PF00664.23]; RecF/RecN/SMC N terminal domain [PF02463.19]; RsgA GTPase [PF03193.16]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_18	PKUV01	ENA|PKUV01000002|PKUV01000002.1	18	20964	22349	-1	A	K00763	aca:ACP_0986  pncB; nicotinate phosphoribosyltransferase (EC:2.4.2.11); K00763 nicotinate phosphoribosyltransferase [EC:2.4.2.11]	True	0.777	730.0	1.892999999999998e-234								Nicotinate phosphoribosyltransferase (NAPRTase) family [PF04095.16]; Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain [PF17767.1]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_19	PKUV01	ENA|PKUV01000002|PKUV01000002.1	19	22526	22837	1	E																		0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_20	PKUV01	ENA|PKUV01000002|PKUV01000002.1	20	22915	23169	1	C		aba:Acid345_2182  hypothetical protein	False	0.64	109.0	1.93e-26												0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_21	PKUV01	ENA|PKUV01000002|PKUV01000002.1	21	23229	23873	1	C	K01126	aba:Acid345_2183  glycerophosphoryl diester phosphodiesterase; K01126 glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	False	0.474	209.0	9.465e-59								Glycerophosphoryl diester phosphodiesterase family [PF03009.17]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_22	PKUV01	ENA|PKUV01000002|PKUV01000002.1	22	24091	24972	1	C		aba:Acid345_2185  MazG family protein	False	0.58	327.0	3.851e-98								MazG nucleotide pyrophosphohydrolase domain [PF03819.17]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_23	PKUV01	ENA|PKUV01000002|PKUV01000002.1	23	24936	25751	1	C		aba:Acid345_2186  GCN5-related N-acetyltransferase	False	0.684	346.0	5.6119999999999965e-105												0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_24	PKUV01	ENA|PKUV01000002|PKUV01000002.1	24	25931	27049	1	A	K02549	aba:Acid345_2187  O-succinylbenzoate synthase; K02549 O-succinylbenzoate synthase [EC:4.2.1.113]	True	0.722	539.0	6.969999999999995e-170								Enolase C-terminal domain-like [PF13378.6]; Mandelate racemase / muconate lactonizing enzyme, N-terminal domain [PF02746.16]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_25	PKUV01	ENA|PKUV01000002|PKUV01000002.1	25	27183	28136	-1	C		aba:Acid345_1715  hypothetical protein	False	0.411	212.0	4.2669999999999995e-58												0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_26	PKUV01	ENA|PKUV01000002|PKUV01000002.1	26	28318	28686	1	C		aba:Acid345_1716  hypothetical protein	False	0.708	156.0	3.727e-42								Polymer-forming cytoskeletal [PF04519.13]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_27	PKUV01	ENA|PKUV01000002|PKUV01000002.1	27	28828	29418	1	C		aba:Acid345_1717  hypothetical protein	False	0.5489999999999999	201.0	1.7459999999999994e-56												0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_28	PKUV01	ENA|PKUV01000002|PKUV01000002.1	28	30016	31272	1	A	K07050	aba:Acid345_4033  threonyl/alanyl tRNA synthetase, SAD; K07050	True	0.488	375.0	1.5169999999999989e-112								tRNA synthetases class II (A) [PF01411.19]; Threonyl and Alanyl tRNA synthetase second additional domain [PF07973.14]; DHHA1 domain [PF02272.19]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_29	PKUV01	ENA|PKUV01000002|PKUV01000002.1	29	31378	32799	1	A		aba:Acid345_4032  periplasmic sensor signal transduction histidine kinase	True	0.5760000000000001	502.0	1.945999999999999e-155								Histidine kinase [PF06580.13]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.26]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_30	PKUV01	ENA|PKUV01000002|PKUV01000002.1	30	32738	33889	-1	A		aba:Acid345_4031  glycosyl transferase, group 1	True	0.748	578.0	2.434999999999999e-183								Glycosyl transferases group 1 [PF00534.20]; Glycosyl transferases group 1 [PF13692.6]; Glycosyltransferase Family 4 [PF13439.6]; Glycosyl transferase 4-like domain [PF13579.6]; Glycosyl transferase 4-like [PF13477.6]	GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342) [GT4]; GT5 UDP-Glc: glycogen glucosyltransferase (EC 2.4.1.11); ADP-Glc: starch glucosyltransferase (EC 2.4.1.21); NDP-Glc: starch glucosyltransferase (EC 2.4.1.242); UDP-Glc: alpha-1,3-glucan synthase (EC 2.4.1.183) UDP-Glc: alpha-1,4-glucan synthase (EC 2.4.1.-) [GT5]			0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_31	PKUV01	ENA|PKUV01000002|PKUV01000002.1	31	34049	34543	-1	C		aba:Acid345_0286  hypothetical protein	False	0.555	162.0	1.5519999999999998e-43												0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_32	PKUV01	ENA|PKUV01000002|PKUV01000002.1	32	35056	36960	-1	A		sus:Acid_6083  extracellular ligand-binding receptor	True	0.589	715.0	3.870999999999996e-226								Periplasmic binding protein [PF13458.6]; Periplasmic binding protein domain [PF13433.6]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_33	PKUV01	ENA|PKUV01000002|PKUV01000002.1	33	36973	37455	-1	C		sus:Acid_3759  endoribonuclease L-PSP	False	0.7490000000000001	233.0	3.91e-68								Endoribonuclease L-PSP [PF01042.21]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_34	PKUV01	ENA|PKUV01000002|PKUV01000002.1	34	37476	38654	-1	A		sus:Acid_6081  ligand-binding sensor domain-containing protein	True	0.826	565.0	1.615999999999999e-178												0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_35	PKUV01	ENA|PKUV01000002|PKUV01000002.1	35	38651	40564	-1	A		sus:Acid_6080  YVTN beta-propeller repeat-containing protein	True	0.647	754.0	2.6139999999999977e-239	MER0027721	S09X	MER0027721 - family S9 non-peptidase homologues (Cellulomonas flavigena) [S09.UNW]#S09X#{peptidase unit: 82-251}~source GEBA2500485341~	False	0.274	61.0	4.12e-08	Cytochrome D1 heme domain [PF02239.16]; Lactonase, 7-bladed beta-propeller [PF10282.9]; Methylamine dehydrogenase heavy chain (MADH) [PF06433.11]; SMP-30/Gluconolactonase/LRE-like region [PF08450.12]; Glutamine cyclotransferase [PF05096.12]				2
PKUV01_ENA|PKUV01000002|PKUV01000002.1_36	PKUV01	ENA|PKUV01000002|PKUV01000002.1	36	40561	42222	-1	A		sus:Acid_6079  ASPIC/UnbV domain-containing protein	True	0.738	797.0	9.20599999999999e-256								ASPIC and UnbV [PF07593.12]; Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella [PF13517.6]				0
PKUV01_ENA|PKUV01000002|PKUV01000002.1_37	PKUV01	ENA|PKUV01000002|PKUV01000002.1	37	42224	43579	-1	A		sus:Acid_6078  hypothetical protein	True	0.485	376.0	2.149999999999999e-112								Hydrazine synthase alpha subunit middle domain [PF18582.1]				1
PKUV01_ENA|PKUV01000002|PKUV01000002.1_38	PKUV01	ENA|PKUV01000002|PKUV01000002.1	38	43597	44484	-1	C	K03856	sus:Acid_1065  3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (EC:2.5.1.54); K03856 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	False	0.6990000000000001	366.0	1.2519999999999996e-111								DAHP synthetase I family [PF00793.20]				0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_1	PKUV01	ENA|PKUV01000003|PKUV01000003.1	1	274	4173	-1	C		sus:Acid_6577  hypothetical protein	False	0.212	283.0	4.5719999999999984e-74												0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_2	PKUV01	ENA|PKUV01000003|PKUV01000003.1	2	4395	7073	-1	A	K08884	gau:GAU_0837  putative serine/threonine protein kinase (EC:2.7.11.1); K08884 serine/threonine protein kinase, bacterial [EC:2.7.11.1]	True	0.4320000000000001	683.0	1.7579999999999986e-210								Protein kinase domain [PF00069.25]; Protein tyrosine kinase [PF07714.17]; MalT-like TPR region [PF17874.1]; Kinase-like [PF14531.6]; Lipopolysaccharide kinase (Kdo/WaaP) family [PF06293.14]; Tetratricopeptide repeat [PF13424.6]; Fungal protein kinase [PF17667.1]; Soluble NSF attachment protein, SNAP [PF14938.6]; Tetratricopeptide repeat [PF13429.6]; Tetratricopeptide repeat [PF13374.6]				0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_3	PKUV01	ENA|PKUV01000003|PKUV01000003.1	3	7109	7693	-1	C		gau:GAU_0836  sigma factor, ECF-like family protein	False	0.578	186.0	3.449e-51								ECF sigma factor [PF07638.11]				0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_4	PKUV01	ENA|PKUV01000003|PKUV01000003.1	4	7873	8157	1	E																		0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_5	PKUV01	ENA|PKUV01000003|PKUV01000003.1	5	8522	9736	1	A		gma:AciX8_2158  integrase family protein	True	0.633	469.0	3.0889999999999987e-145								Phage integrase family [PF00589.22]		sp|O10330|VLF1_NPVOP Very late expression factor 1; Xr	Xr	0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_6	PKUV01	ENA|PKUV01000003|PKUV01000003.1	6	10086	10292	-1	E																		0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_7	PKUV01	ENA|PKUV01000003|PKUV01000003.1	7	10268	11947	-1	A		afl:Aflv_0303  multifunctional NAD(FAD)-dependent oxidoreductase/hodanese domain-/SirA-like redox domain/Peroxiredoxin domain-containing protein	True	0.586	620.0	1.2069999999999992e-194								Pyridine nucleotide-disulphide oxidoreductase [PF07992.14]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.27]; Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain [PF02852.22]; Rhodanese-like domain [PF00581.20]; Pyridine nucleotide-disulphide oxidoreductase [PF13738.6]				0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_8	PKUV01	ENA|PKUV01000003|PKUV01000003.1	8	12156	12773	-1	C		trs:Terro_3073  putative Co/Zn/Cd cation transporter	False	0.484	171.0	1.1539999999999997e-45												0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_9	PKUV01	ENA|PKUV01000003|PKUV01000003.1	9	13041	13190	-1	C		bpf:BpOF4_09510  hypothetical protein	False	0.632	61.0	1.224e-10												0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_10	PKUV01	ENA|PKUV01000003|PKUV01000003.1	10	13446	13583	1	E																		0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_11	PKUV01	ENA|PKUV01000003|PKUV01000003.1	11	13547	14803	1	A		sus:Acid_4986  hypothetical protein	True	0.591	460.0	1.0499999999999995e-141								Zinc dependent phospholipase C [PF00882.18]				0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_12	PKUV01	ENA|PKUV01000003|PKUV01000003.1	12	14943	15653	1	C		sno:Snov_2605  phosphoesterase PA-phosphatase-like protein	False	0.397	134.0	1.648e-32								PAP2 superfamily [PF01569.21]				0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_13	PKUV01	ENA|PKUV01000003|PKUV01000003.1	13	15722	16402	-1	C		sus:Acid_2551  hypothetical protein	False	0.598	260.0	3.673999999999998e-76												0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_14	PKUV01	ENA|PKUV01000003|PKUV01000003.1	14	17209	17322	-1	E																		0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_15	PKUV01	ENA|PKUV01000003|PKUV01000003.1	15	17630	17806	-1	C	K01533	dpr:Despr_0142  copper-translocating P-type ATPase (EC:3.6.3.4); K01533 Cu2+-exporting ATPase [EC:3.6.3.4]	False	0.726	72.0	4.915e-14								YHS domain [PF04945.13]				0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_16	PKUV01	ENA|PKUV01000003|PKUV01000003.1	16	18259	19347	-1	A		azl:AZL_014180  transposase	True	0.622	436.0	1.0989999999999993e-134								Transposase domain (DUF772) [PF05598.11]; Transposase DDE domain [PF01609.21]; Transposase DDE domain [PF13751.6]		sp|P0CE62|INH15_ECOLI Transposase InsH for insertion sequence element IS5-15; Xr	Xr	0
PKUV01_ENA|PKUV01000003|PKUV01000003.1_17	PKUV01	ENA|PKUV01000003|PKUV01000003.1	17	19744	20133	1	E																		0
